cell,mean_f
301,151.186
302,1254.814275
303,216.39811250000002
304,185.49825
305,343.69177499999995
306,151.79172499999999
307,273.3946125
308,178.125925
309,127.60361250000001
310,141.50861249999997
311,134.7259625
312,261.2342625
313,161.3961125
314,210.2182875
315,225.8296375
316,249.75990000000002
317,384.1049625
318,268.637125
319,126.677425
320,38.78863750000001
321,13.933725000000004
322,59.7171875
323,141.07356249999998
324,88.9439125
325,115.07046249999999
326,131.71056249999998
327,15.488249999999999
328,109.5674625
329,47.710225
330,139.926675
331,168.550875
332,100.31537499999999
333,159.77761249999998
334,139.2671125
335,88.751325
336,86.93895
337,258.09585
338,205.16568750000002
339,28.9566375
340,157.45289999999997
341,99.5019
342,56.91025
